1: Main Flora Type,1: Main Flora Type,2a: Aquatic Sub-Habitat or 2b: Other Sub-Habitat,2c: Rarity,3: Grouping,4: Size,5: Main Body,5a: Branches,5b: Roots,5c: Surface For Main Body,5d: Color For  Main Body,5e: Color Pattern For Main Body,5c: Surface For Branches,5d: Color For  Branches,5e: Color Pattern For Branches,5c: Surface For Roots,5d: Color For  Roots,5e: Color Pattern For Roots,6: Leaves,6a: Leaf Location,6b: Leaf Shape,6c: Leaf Margin,6c: Leaf Surface,6d: Leaf Venation,6e: Leaf Numbers,5c: Surface For Leaves,5d: Color For  Leaves,5e: Color Pattern For Leaves,7: Reproduction,7a: Seeds,7b: Primary Dispersal,7c: Flower Type,7d: Flower Shape,7e: Flower Size,7f: Pedal Shape,7g: Pedal Surface,7h: Flower Location,7i: Flower Scent,7j: Flower Frequency,5c: Surface For Flowers,5d: Color For  Flowers,7k: Flower Pattern,7l: Stamens,7m: Pistils,8: Diet,8a: Tropism,9: Sentience,9a: Sentience Type,10: Edibility For Leaves,10a: Edible Preparation For Leaves or 10c: Medicinal Preparation For Leaves,10b: Medicinal Properties For Leaves,10: Edibility For Flowers,10a: Edible Preparation For Flowers or 10c: Medicinal Preparation For Flowers,10b: Medicinal Properties For Flowers,10: Edibility For Fruit,10a: Edible Preparation For Fruit or 10c: Medicinal Preparation For Fruit,10b: Medicinal Properties For Fruit,10: Edibility For Bark,10a: Edible Preparation For Bark or 10c: Medicinal Preparation For Bark,10b: Medicinal Properties For Bark,10: Edibility For Stems,10a: Edible Preparation For Stems or 10c: Medicinal Preparation For Stems,10b: Medicinal Properties For Stems,10: Edibility For Roots,10a: Edible Preparation For Roots or 10c: Medicinal Preparation For Roots,10b: Medicinal Properties For Roots,
Woody,Terrestrial,Forest / Jungle,Common,Small Patch (1-12),Small (5-25cm),Stem / Trunk,Random,Fibrous,Smooth,Brown,N/A,Rough,Green & Brown,Phases,Smooth,Orange,N/A,Broad,Stem / Trunk,Cuneate (Wedge Accute Base),Smooth,Scaly,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Pairs (2),Smooth,Brown,N/A,Seeds,Nut,Wind,Bunches,Bell,Small (5-10mm),Toothed,Waxy,Terminal,Foul,Annual (Once),Smooth,Green,Phases,4-9,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Nutritious / Tasty,Raw,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Raw,N/A,Nutritious / Tasty,Roasted,N/A,
Herbaceous,Aquatic,Salt Water,Rare,Small Patch (1-12),Small (5-25cm),Stem / Trunk,Random,Tubers,Smooth,White,N/A,Scaly,Red,N/A,Flaky,Green,N/A,Blades,Random Interval,Linear (Parallel Margins & Elongate),Spiny,Error: Roll Out of Range,Parallel (Veins Arranged Axially Not Intersecting),Clusters (6+),Flaky,Gold,N/A,Seeds,Fruit,Animal,Pairs,Bell,Avg. (1-5cm),Blade,Veined,Terminal,Foul,Perennial (Yearly),Smooth,Violet,Blushed,1-3,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Boiled,N/A,Medicinal / Other,Poultice,Diaphoretic,Edible,Raw,N/A,N/A,N/A,N/A,Nutritious / Tasty,Dried,N/A,Nutritious / Tasty,Dried,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Very Common,Large Patch (120+),Average (25cm-1m),Stem / Trunk,Random,Tap,Smooth,Green,N/A,Smooth,Violet,N/A,Smooth,Green,N/A,Broad,Branch Points,Palmate (Hand-Like),Serate,Waxy,Arcute (Secondary Veins Bending Towards Apex),Clusters (6+),Smooth,Brown,N/A,Seeds,Fruit,Animal,Single,Funnel,Avg. (1-5cm),Round,Hairy,Stem / Trunk,None,Annual (Once),Scaly,Copper,Mottled,0,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Other,Laxative,Medicinal / Other,Other,Febrifuge,Edible,Roasted,N/A,N/A,N/A,N/A,Edible,Raw,N/A,Edible,Dried,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Very Rare,Medium Patch (12-120),Tiny (<5cm),Stem / Trunk,Random,Bulb,Waxy,Grey,N/A,Waxy,Violet,N/A,Waxy,Brown,N/A,Broad,Regular Interval,Lobed (Deeply Indented Margins),Lobate,Smooth,Dichotomous (Veins Branching in Symmetric Pairs),Singles (1),Waxy,Brown,N/A,Suckers,Fruit,Animal,Other,Disc,Avg. (1-5cm),Wavy,Waxy,Terminal,Sweet,Perennial (Yearly),Waxy,Blue,Stripes,4-9,1,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Cold Extract,Re-Roll,Nutritious / Tasty,Boiled,N/A,Medicinal / Other,Re-Roll,Antiseptic,N/A,N/A,N/A,Nutritious / Tasty,Steeped,N/A,Nutritious / Tasty,Raw,N/A,
Fungus,Sub-Terrestrial,Hills / Scrub,Rare,Solitary (1-2),Large (1-10m),Multiple Stems / Trunks,None,Bulb,Smooth,Gold,N/A,Smooth,Silver,N/A,Waxy,Silver,N/A,Blades,Terminal,Lanceolate (Pointed at Both Ends),Sinuate,Waxy,Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Smooth,Grey & Violet,Solid,Seeds,Spore,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Symbiotic,None,Non-Sentient,N/A,Edible,Ground,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Ground,Vermicide,Nutritious / Tasty,Ground,N/A,Nutritious / Tasty,Raw,N/A,
Woody,Terrestrial,Hills / Scrub,Unique (Extremely Limited Area),Small Patch (1-12),Small (5-25cm),Multiple Stems / Trunks,Radial,Fibrous,Smooth,White & Green,Phases,Waxy,Green,N/A,Waxy,Red,N/A,Broad,Regular Interval,Elliptic (Oval Small or No Point),Serate,Hairy,Pinnate (Secondary Veins Paired Oppositely),Clusters (6+),Smooth,Grey,N/A,Seeds,Nut,Animal,Bunches,Bell,Avg. (1-5cm),Round,Veined,Terminal,Other / Specific,Annual (Once),Waxy,Gold,Blushed,1-3,5+,Decay,Gravity,Non-Sentient,N/A,Nutritious / Tasty,Raw,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Dried,N/A,
Herbaceous,Aquatic,Salt Water,Common,Medium Patch (12-120),Small (5-25cm),Creeper Vine,None,Fibrous,Smooth,Silver,N/A,Waxy,White & Green,Luminescent & Stripes,Smooth,Brown,N/A,Broad,Regular Interval,Falcate (Sickle),Undulate,Scaly,Reticulate (Smaller Veins Forming a Network),Whorls (3-5),Waxy,Blue,N/A,Seeds,Grain,Gravity,Spray,Disc,Avg. (1-5cm),Blade,Hairy,Branch Points,Musky,Perennial (Yearly),Smooth,Green & Violet,Blushed,4-9,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Poultice,Re-Roll,Medicinal / Other & Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Raw,N/A,Nutritious / Tasty,Dried,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Uncommon,Small Patch (1-12),Small (5-25cm),Creeper Vine,Random,Fibrous,Smooth,Green,N/A,Smooth,Orange & Green,Patches,Waxy,White,N/A,Compound,Branch Points,Obcordate (Heart Stem at Point),Sinuate,Smooth,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Singles (1),Waxy,Silver,N/A,Seeds,Grain,Water,Spray,Funnel,Avg. (1-5cm),Oval,Waxy,Branch Points,Other / Specific,Annual (Once),Smooth,Brown,Spotted,0,1,Other,Gravity,Non-Sentient,N/A,Edible,Raw,N/A,Medicinal / Other,Juice,Anthelmintic,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Steeped,N/A,Medicinal / Other,Crushed,Deodorant,
Herbaceous,Terrestrial,Marsh / Swamp / Bog,Very Common,Large Patch (120+),Small (5-25cm),Creeper Vine,None,None,Smooth,Green,N/A,Other,Green,N/A,Smooth,Green,N/A,Blades,Terminal,Orbicular (Circular),Serate,Scaly,Reticulate (Smaller Veins Forming a Network),Whorls (3-5),Smooth,Green,N/A,Seeds,Fruit,Other,Pairs,Cone,Avg. (1-5cm),Curly,Waxy,Terminal,Sweet,Annual (Once),Waxy,Grey,Mimicry,0,2-4,Photo / Chemo-Synthetic,Mobile,Non-Sentient,N/A,Nutritious / Tasty,Raw,N/A,Medicinal / Other,Fomentation,Insecticide,Medicinal / Other,Powder,Anticoagulant,N/A,N/A,N/A,Edible,Blanched,N/A,Medicinal / Other,Bath,Cathartic,
Herbaceous,Aquatic,Salt Water,Common,Solitary (1-2),Average (25cm-1m),Creeper Vine,None,Tap,Smooth,Red,N/A,Rough,Blue,N/A,Smooth,Green,N/A,Broad,Terminal,Acicular (Needle),Smooth,Hairy,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Whorls (3-5),Smooth,Gold,N/A,Suckers,Spore,Animal,Single,Cone,Small (5-10mm),Blade,Dusty,Regular Interval,Other / Specific,Annual (Once),Smooth,Gold,Night Blooming,4-9,0,Photo / Chemo-Synthetic,None,Non-Sentient,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Poultice,Nervine,Edible,Steeped,N/A,
Algae,Aquatic,Fresh Water,Common,Solitary (1-2),Tiny (<5cm),Colonial Mass,None,Rhizoid,Smooth,Brown,N/A,Smooth,Black,N/A,Smooth,Black,N/A,Scales,Random Interval,Acicular (Needle),Lobate,VelvetyDusty,Parallel (Veins Arranged Axially Not Intersecting),Singles (1),Waxy,Violet,N/A,Budding / Fragmentation,Spore,Animal,Compound,Cone,Avg. (1-5cm),Feathery & Oval,Waxy,Terminal,Foul,Annual (Once),Rough,Brown,Solid,10+,2-4,Symbiotic,Mobile,Non-Sentient,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Woody,Terrestrial,Forest / Jungle,Common,Solitary (1-2),Average (25cm-1m),Stem / Trunk,Radial,Fibrous,Flaky & Flaky,Blue,N/A,Flaky,Blue,N/A,Rough,Red,N/A,Compound,Regular Interval,Truncate (Squared off Apex),Lobate,Smooth,Cross-Venulate (Small Veins Connecting Secondary Veins),Singles (1),Rough,Orange,N/A,Seeds,Fruit,Water,Pairs,Funnel,Avg. (1-5cm),Feathery,Scaly,Branch Points,Other / Specific,Perennial (Yearly),Smooth,Copper,Stripes,1-3,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Dried,N/A,Medicinal / Other,Ground,Hallucinogen,Non-Edible,N/A,N/A,Medicinal / Other,Crushed,Nervine,Edible,Steeped,N/A,Non-Edible,N/A,N/A,
Herbaceous,Aquatic,Brackish,Uncommon,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,Ordered,Tap,Smooth & Smooth,Green,N/A,Smooth,Green,N/A,Smooth,Blue,N/A,Compound,Terminal,Orbicular (Circular),Spiny,Scaly & Hairy,Palmate (Several Primary Veins Diverging from a Point),Whorls (3-5),Waxy,Green,N/A,Seeds,Fruit,Wind,Single,Disc,Avg. (1-5cm),Blade,Scaly,Branch Points,Foul,Perennial (Yearly),Waxy,Green,Night Closing,10+,2-4,Photo / Chemo-Synthetic,Gravity & Light,Non-Sentient,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Infusion,Glue,Edible,Raw,N/A,N/A,N/A,N/A,Edible,Blanched,N/A,Medicinal / Other,Ground,Balsam,
Herbaceous,Aquatic,Brackish,Common,Solitary (1-2),Average (25cm-1m),Stem / Trunk,Radial,Fibrous,Smooth,Green,N/A,Flaky,Green,N/A,Smooth,Yellow,N/A,Broad,Random Interval,Spatulate (Spoon),Serrulate & Smooth,Waxy,Arcute (Secondary Veins Bending Towards Apex),Whorls (3-5) & Whorls (3-5),Waxy,Orange,N/A,Seeds & Seeds,Spore,Wind,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Powder,Febrifuge,Edible,Steeped,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Common,Small Patch (1-12),Huge (>10m),Stem / Trunk,None,Bulb,Smooth,Violet,N/A,Scaly,Green,N/A,Waxy,Red,N/A,Broad,Regular Interval,Obtuse (Bluntly Tipped),Serate,Scaly,Pinnate (Secondary Veins Paired Oppositely),Singles (1),Smooth,Grey,N/A,Seeds,Grain,Gravity,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Medicinal / Other,Powder,Depurative,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Ground,N/A,Medicinal / Other,Cold Extract,Analgesic,Medicinal / Other,Cold Extract,Anticoagulant,
Woody,Terrestrial,Hills / Scrub,Common,Small Patch (1-12),Average (25cm-1m),Stem / Trunk,Radial,Tap,Smooth,White,N/A,Smooth,Silver,N/A,Flaky,Copper,N/A,Broad,Stem / Trunk,Falcate (Sickle),Serate,Hairy,None,Singles (1),Rough,Green,N/A,Seeds,Nut,Water,Single,Disc,Small (5-10mm),Wavy,Hairy,Terminal,Musky,Annual (Once),Scaly,Yellow,Blushed,10+,2-4,Decay,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Crushed,Oil,N/A,N/A,N/A,Medicinal / Other,Grated,Anticoagulant,Medicinal / Other,Tincture,Antiperodic,Edible,Blanched,N/A,
Herbaceous,Terrestrial,Hills / Scrub,Very Common,Solitary (1-2),Tiny (<5cm),Stem / Trunk,Radial,Fibrous,Other,Grey,N/A,Smooth,Grey,N/A,Smooth,Brown,N/A,Broad,Regular Interval,Truncate (Squared off Apex),Sinuate,Smooth,Parallel (Veins Arranged Axially Not Intersecting),Clusters (6+),Smooth,Violet,N/A,Seeds,Fruit,Animal,Pairs,Funnel,Large (5-10cm),Wavy,Smooth,Terminal,Sweet,Annual (Once),Other & Waxy,Green,Stripes,4-9,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Dried,N/A,Edible,Roasted,N/A,Medicinal / Other,Tincture,Cardiac,N/A,N/A,N/A,Nutritious / Tasty,Raw,N/A,Medicinal / Other,Fomentation,Aromatic,
Woody,Terrestrial,Marsh / Swamp / Bog,Uncommon,Small Patch (1-12),Average (25cm-1m),Multiple Stems / Trunks,Random,Tap,Flaky,Grey,N/A,Smooth,White,N/A,Rough,Blue,N/A,Needles,Terminal,Subulate (Awl),Lobate & Ciliate,Smooth,Parallel (Veins Arranged Axially Not Intersecting),Singles (1),Rough,Red,N/A,Seeds,Fruit,Gravity,Other,Funnel,Avg. (1-5cm),Wavy,Smooth,Terminal,Musky,Perennial (Yearly),Rough,Orange,Translucent,0,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Dried,N/A,Nutritious / Tasty,Ground,N/A,Medicinal / Other,Fomentation,Antiemetic,Edible,Dried,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Woody,Terrestrial,Plains / Savannah,Common,Small Patch (1-12),Large (1-10m),Colonial Mass,Ordered,Fibrous,Scaly,Silver,N/A,Rough,Green,N/A,Rough,Violet,N/A,None,Random Interval,Obtuse (Bluntly Tipped),Sinuate,Waxy,Pinnate (Secondary Veins Paired Oppositely),Singles (1),Rough,Copper,N/A,Seeds,Fruit,Gravity,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Dried,N/A,Non-Edible,N/A,N/A,Edible,Blanched,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Uncommon,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,Random,Tap,Smooth,Green,N/A,Smooth,Green,N/A,Smooth,Gold,N/A,Blades,Random Interval,Rhomboid (Diamond),Undulate,Scaly,Pinnate (Secondary Veins Paired Oppositely),Clusters (6+),Flaky,Violet,N/A,Seeds,Spore,Wind,Spray,Spike,Small (5-10mm),Curly,Sticky,Terminal & Branch Points,Sweet,Poly-Annual (2-7 Years),Smooth,Grey,Spotted,0,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Essence,Expectorant,Nutritious / Tasty,Raw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Fomentation,Antibiotic,Nutritious / Tasty,Dried,N/A,
Woody,Terrestrial,Desert / Waste,Common,Large Patch (120+),Large (1-10m),Stem / Trunk,Random,Tap,Other,Green,N/A,Flaky,Copper,N/A,Rough,Violet,N/A,Compound,Random Interval,Palmate (Hand-Like),Dentate,Scaly,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Smooth,Green,N/A,Seeds,Nut,Animal,Bunches,Funnel,Tiny (<5mm),Curly,Velvety,Stem / Trunk,Musky,Perennial (Yearly),Flaky,Yellow & Gold,Blushed,1-3,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Edible,Dried,N/A,N/A,N/A,N/A,Edible,Steeped,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Cold Extract,Antibiotic,
Herbaceous,Aquatic,Fresh Water,Rare,Small Patch (1-12),Huge (>10m),Colonial Mass,None,Fibrous,Other,Grey,N/A,Smooth,Blue,N/A,Smooth,Black,N/A,Compound,Regular Interval,Rhomboid (Diamond),Smooth,Scaly,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Whorls (3-5),Smooth,Blue,N/A,Seeds,Spore,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Heat,Non-Sentient,N/A,Medicinal / Other,Wash,Bitter Tonic,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Boiled,N/A,Non-Edible,N/A,N/A,
Woody,Terrestrial,Forest / Jungle,Common,Large Patch (120+),Huge (>10m),Stem / Trunk,Random,Fibrous,Smooth,Yellow,N/A,Smooth,White,N/A,Rough,Violet,N/A,Broad,Random Interval,Obcordate (Heart Stem at Point),Sinuate,Waxy,Parallel (Veins Arranged Axially Not Intersecting),Pairs (2) & Clusters (6+),Rough,Orange,N/A,Seeds,Fruit,Water,Pairs,Cone,Avg. (1-5cm),Blade,Scaly,Random Interval,Sweet,Poly-Annual (2-7 Years),Smooth,Green,Solid,1-3,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Blanched,N/A,Medicinal / Other,Infusion,Detergent,Non-Edible,N/A,N/A,Edible,Dried,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Uncommon,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,Radial,Tap,Smooth,Brown,N/A,Smooth,Orange,N/A,Smooth,Gold,N/A,Compound,Branch Points,Acicular (Needle),Smooth,Waxy,Dichotomous (Veins Branching in Symmetric Pairs),Singles (1),Waxy,Orange,N/A,Suckers,Fruit,Animal,Pairs,Bell,Avg. (1-5cm),Wavy,Velvety,Random Interval,Sweet,Poly-Annual (2-7 Years),Waxy,Black,Phases,10+,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Juice,Antifungal,Medicinal / Other,Juice,Antinauseant,Medicinal / Other,Ground,Vesicant,N/A,N/A,N/A,Medicinal / Other,Cold Compress,Re-Roll,Nutritious / Tasty,Raw,N/A,
Woody,Terrestrial,Hills / Scrub,Common,Small Patch (1-12),Large (1-10m),Stem / Trunk,Radial,Tubers,Smooth,Brown & Yellow,Spotted,Rough,Brown,N/A,Smooth,Black,N/A,Compound,Stem / Trunk,Hastatae (Triangular Basal Lobes),Serrulate,Hairy,None,Pairs (2),Rough,Green,N/A,Seeds,Grain,Gravity,Spray,Bell,Avg. (1-5cm),Round & Round,Dusty,Terminal,Sweet,Perennial (Yearly),Scaly,Copper,Iridescent,4-9,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Blanched,N/A,Nutritious / Tasty,Dried,N/A,
Woody,Terrestrial,Plains / Savannah,Common,Large Patch (120+),Average (25cm-1m),Stem / Trunk,Ordered,Bulb,Rough,Green,N/A,Flaky,Copper,N/A,Scaly,Green,N/A,Broad,Random Interval,Flabellate (Fan Shaped),Sinuate,Scaly,Dichotomous (Veins Branching in Symmetric Pairs),Clusters (6+),Smooth,Red,N/A,Seeds,Fruit,Water,Pairs,Bell,Tiny (<5mm),Wavy,Velvety,Regular Interval,None,Perennial (Yearly),Smooth,Green,Blushed,1-3,0,Photo / Chemo-Synthetic,None,Non-Sentient,N/A,Nutritious / Tasty,Dried,N/A,Medicinal / Other,Fomentation,Mysical / Other,Non-Edible,N/A,N/A,Edible,Boiled,N/A,Edible,Dried,N/A,Non-Edible,N/A,N/A,
Woody,Terrestrial,Hills / Scrub,Uncommon,Solitary (1-2),Huge (>10m),Multiple Stems / Trunks,Radial,Tap,Smooth,Silver & Violet,Patches,Smooth,Green,N/A,Flaky,Copper & Green,Mottled,Compound,Terminal,Ovate (Egg Wide at Base),Serate,Waxy,Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Scaly,Violet,N/A,Seeds,Nut,Animal,Single,Funnel,Small (5-10mm),Thread,Dusty,Terminal,None,Annual (Once),Other,Black,Iridescent,10+,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Steeped,N/A,Edible,Dried,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Uncommon,Small Patch (1-12),Average (25cm-1m),Creeper Vine,Random,Tap,Waxy,Yellow,N/A,Flaky,Blue,N/A,Waxy,Red,N/A,Blades,Terminal,Orbicular (Circular),Lobate,Sticky,Reticulate (Smaller Veins Forming a Network),Whorls (3-5),Smooth,Yellow,N/A,Seeds,Fruit,Animal,Other,Sphere,Avg. (1-5cm),Oval,Velvety,Branch Points,Sweet,Other,Smooth,Yellow,Translucent,4-9,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Roasted,N/A,Edible,Raw,N/A,Edible,Boiled,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Crushed,Hypnotic,
Algae,Aquatic,Salt Water,Uncommon,Medium Patch (12-120),Small (5-25cm),Multiple Stems / Trunks,Ordered,Rhizoid,Smooth,Green,N/A,Smooth,Yellow,N/A,Smooth,Green,N/A,None,Stem / Trunk,Pedate (Palmate Divided Latteral Lobes),Ciliate,Smooth,Cross-Venulate (Small Veins Connecting Secondary Veins),Singles (1),Scaly,Silver,N/A,Budding / Fragmentation,Spore,Animal,Spray,Funnel,Small (5-10mm),Round,Sticky,Terminal,Musky,Poly-Annual (2-7 Years),Smooth,Blue,Blushed,4-9,1,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Raw,N/A,Edible,Ground,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Common,Solitary (1-2),Small (5-25cm),Creeper Vine,Radial,Fibrous,Smooth,Green,N/A,Waxy,Violet,N/A,Flaky,Red,N/A,Broad,Regular Interval,Digitate (Finger-Like Lobes),Denticulate,VelvetyDusty,Pinnate (Secondary Veins Paired Oppositely),Singles (1),Other,White,N/A,Seeds,Spore,Wind,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Ground,N/A,Edible,Blanched,N/A,
Fungus,Sub-Terrestrial,Plains / Savannah,Uncommon,Small Patch (1-12),Average (25cm-1m),Stem / Trunk,None,Advantageous,Smooth,Silver,N/A,Smooth,Yellow,N/A,Smooth,Grey,N/A,Scales,Terminal,Linear (Parallel Margins & Elongate),Dentate,Hairy,Pinnate (Secondary Veins Paired Oppositely),Singles (1),Smooth,Grey,N/A,Seeds,Spore,Animal,Bunches,Bell,Avg. (1-5cm),Curly & Oval,Veined,Terminal,Musky,Other,Smooth,Brown,Mottled,0,5+,Decay,Gravity & Gravity,Non-Sentient,N/A,Edible,Raw,N/A,Nutritious / Tasty,Dried,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Blanched,N/A,Nutritious / Tasty,Raw,N/A,
Herbaceous,Aquatic,Salt Water,Very Rare,Small Patch (1-12),Average (25cm-1m),Multiple Stems / Trunks,Radial,Tubers,Rough,Yellow,N/A,Smooth,Green,N/A,Smooth,Brown,N/A,Needles,Terminal,Elliptic (Oval Small or No Point),Ciliate,Hairy,Cross-Venulate (Small Veins Connecting Secondary Veins),Whorls (3-5),Smooth,Yellow,N/A,Seeds,Fruit,Animal,Pairs,Sphere,Small (5-10mm),Oval,Waxy,Branch Points,Musky,Perennial (Yearly),Smooth,Blue,Patches,4-9,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Steeped,N/A,Medicinal / Other,Grated,Appetizer,Medicinal / Other,Essence,Vermifuge,N/A,N/A,N/A,Edible & Medicinal / Other,N/A,N/A,Non-Edible,N/A,N/A,
Woody,Terrestrial,Forest / Jungle,Uncommon,Solitary (1-2),Huge (>10m),Multiple Stems / Trunks,Random,Rhizoid,Flaky,Yellow,N/A,Scaly,Green,N/A,Flaky,Yellow,N/A,Compound,Branch Points,Hastatae (Triangular Basal Lobes),Dentate,Waxy,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Pairs (2),Rough,Grey,N/A,Seeds,Nut,Animal,Pairs,Bell,Avg. (1-5cm),Curly,Veined,Random Interval,Sweet,Poly-Annual (2-7 Years),Rough,Red,Solid,0,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Nutritious / Tasty,Ground,N/A,Edible,Ground,N/A,N/A,N/A,N/A,Medicinal / Other,Cold Extract,Insecticide,Non-Edible,N/A,N/A,Edible,Boiled,N/A,
Fungus,Terrestrial,Desert / Waste,Common,Solitary (1-2),Average (25cm-1m),Stem / Trunk,None,Rhizoid,Smooth,Green,N/A,Smooth,Violet,N/A,Smooth,Green,N/A,Needles,Terminal,Hastatae (Triangular Basal Lobes),Serate,Smooth,None,Whorls (3-5),Flaky,Violet,N/A,Seeds,Other,Wind,Compound,Cone,Avg. (1-5cm),Blade,Smooth,Terminal,Sweet,Annual (Once),Smooth,Blue,Stripes,1-3,5+,Decay,Gravity,Non-Sentient,N/A,Medicinal / Other,Ointment,Re-Roll,Nutritious / Tasty,Dried,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
